property_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
453,House,Entire home/apt,6,2.5,3,2,Real Bed
454,House,Private room,2,1,1,1,Real Bed
455,House,Entire home/apt,4,1,2,2,Real Bed
456,House,Entire home/apt,2,1,1,1,Real Bed
457,House,Entire home/apt,5,3,3,3,Real Bed
458,Apartment,Entire home/apt,4,1,1,1,Real Bed
459,Apartment,Entire home/apt,2,1,1,1,Real Bed
460,Apartment,Entire home/apt,4,1,0,2,Real Bed
461,Apartment,Entire home/apt,5,1,2,3,Real Bed
462,House,Entire home/apt,9,3,4,5,Real Bed
463,House,Private room,2,1,1,1,Real Bed
464,Condominium,Private room,2,1,1,1,Real Bed
465,Apartment,Entire home/apt,2,1,0,1,Real Bed
466,House,Entire home/apt,6,2,3,3,Real Bed
467,Apartment,Entire home/apt,2,1,1,1,Real Bed
468,Apartment,Entire home/apt,3,1,1,1,Real Bed
469,House,Entire home/apt,5,2,2,4,Real Bed
470,Apartment,Entire home/apt,2,1,1,1,Real Bed
471,House,Entire home/apt,4,1,2,2,Real Bed
472,House,Private room,2,1.5,1,1,Real Bed
473,House,Entire home/apt,8,1.5,3,5,Real Bed
474,House,Private room,2,1,1,1,Real Bed
475,House,Entire home/apt,4,1,2,2,Real Bed
476,House,Entire home/apt,6,2,2,2,Real Bed
477,House,Entire home/apt,4,1,2,3,Real Bed
478,House,Entire home/apt,7,1,3,3,Real Bed
479,Apartment,Entire home/apt,2,1,1,1,Real Bed
480,Bed & Breakfast,Private room,2,1,1,1,Real Bed
481,House,Private room,2,1,1,1,Real Bed
482,Apartment,Entire home/apt,4,1,2,2,Real Bed
483,House,Entire home/apt,6,3,3,2,Real Bed
484,House,Entire home/apt,4,1,2,2,Real Bed
485,Condominium,Entire home/apt,5,1,2,2,Real Bed
486,House,Entire home/apt,4,1,2,3,Real Bed
487,Apartment,Entire home/apt,5,1,2,2,Real Bed
488,Apartment,Entire home/apt,4,1.5,2,4,Real Bed
489,Apartment,Entire home/apt,3,1,1,2,Futon
490,House,Entire home/apt,6,2,3,3,Real Bed
491,Apartment,Private room,1,1,1,1,Real Bed
492,House,Entire home/apt,4,1,2,2,Real Bed
493,Townhouse,Private room,1,1,1,1,Real Bed
494,Townhouse,Private room,2,1.5,1,1,Real Bed
495,Apartment,Entire home/apt,3,1,1,1,Real Bed
496,Apartment,Entire home/apt,4,1,2,2,Real Bed
497,House,Entire home/apt,2,1,1,1,Real Bed
498,Apartment,Entire home/apt,4,1,2,2,Real Bed
499,House,Entire home/apt,8,2.5,3,4,Real Bed
500,Apartment,Entire home/apt,6,1,2,2,Real Bed
501,House,Entire home/apt,4,1,2,2,Real Bed
502,House,Private room,2,1,1,1,Real Bed
503,House,Private room,2,1.5,1,1,Real Bed
504,House,Entire home/apt,6,3,3,3,Real Bed
505,House,Entire home/apt,7,3,3,3,Real Bed
506,House,Entire home/apt,4,2,3,1,Real Bed
507,Apartment,Entire home/apt,2,1,0,1,Real Bed
508,House,Entire home/apt,4,1,2,2,Real Bed
509,Apartment,Entire home/apt,5,1,2,2,Real Bed
510,House,Private room,3,1,1,1,Real Bed
511,House,Entire home/apt,4,1,1,2,Real Bed
512,Apartment,Entire home/apt,4,1,1,2,Real Bed
513,House,Private room,4,1,1,2,Real Bed
514,House,Private room,4,1,1,1,Real Bed
515,Apartment,Private room,2,1,1,1,Real Bed
516,Apartment,Entire home/apt,4,1,1,1,Real Bed
517,Apartment,Entire home/apt,6,1,2,3,Real Bed
518,Apartment,Entire home/apt,4,1,2,2,Real Bed
